Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
ORC2,34,34,4,310.25,2.568571429,47.45236035,0.732620321,2.431623932,31,3,0.404373851,161,27,0
OXA1L,81,82,4,347.3333333,2.748571429,1168.188315,0.912074676,2.252136752,78,5,0.560842368,11515,6,0
PABPN1,53,53,4,330.4166667,2.687142857,148.9805118,0.789550073,2.313390313,43,4,0.509385528,1854,27,0
PCBP1,53,53,4,338.0833333,2.752857143,208.7449715,0.741654572,2.247863248,43,4,0.509385528,2135,26,0
PCBP2,47,47,4,304.0833333,2.474285714,9.935528828,0.914893617,2.525641026,43,4,0.495147913,3641,9,0
PCNA,72,72,4,349.5,2.795714286,754.874152,0.462050078,2.205128205,43,3,0.517407214,730,524,0
PDPK1,36,36,3,327,2.707142857,39.28008083,0.525396825,2.293447293,31,3,0.415392612,606,52,1
PGK1,26,26,3,335.6666667,2.81,254.5285951,0.378461538,2.190883191,19,1,0.38148475,65,24,1
PGK2,17,17,4,315.1666667,2.658571429,108.8033407,0.485294118,2.341880342,14,1,0.475931074,1913,10,0
PHKB,5,5,4,261.6666667,2.192857143,0.14965368,0.7,2.806267806,5,1,0.136066147,355,2,0
PIK3CD,41,41,3,339.3333333,2.798571429,215.2647627,0.46097561,2.202279202,32,3,0.474096574,23939,59,1
PIK3R1,74,75,3,362,2.895714286,323.7235278,0.443603604,2.105413105,36,3,0.52676366,29341,622,1
PIK3R2,42,42,3,325.3333333,2.675714286,41.83019431,0.612078978,2.324786325,32,3,0.488480697,1411,195,1
PIK3R3,36,36,3,322.8333333,2.671428571,29.5800338,0.66031746,2.329059829,32,3,0.415392612,27999,97,1
PKIA,3,5,4,268.0833333,2.264285714,8.772475746,0.3,2.735042735,5,1,0.159664184,17744,3,1
PKP1,17,18,3,294.8333333,2.482857143,24.03907566,0.68627451,2.517094017,16,2,0.423049843,842,6,0
PKP2,70,70,3,352.1666667,2.825714286,1045.470352,0.333333333,2.175213675,32,2,0.538184233,1569,202,0
PKP3,18,18,4,289,2.431428571,8.566859229,0.777777778,2.568376068,16,2,0.456635606,413,7,0
PKP4,20,22,4,298.8333333,2.504285714,90.04982224,0.593073593,2.495726496,16,2,0.409835658,1477,14,0
PLCG1,46,46,3,339.1666667,2.782857143,139.2731287,0.480193237,2.217948718,32,3,0.483161437,2906,139,0
PLN,32,32,3,305.1666667,2.531428571,91.33176765,0.431451613,2.468660969,25,2,0.404551175,1195,28,0
PNISR,12,13,4,263.4166667,2.214285714,13.55671933,0.794871795,2.784900285,13,4,0.473029879,126,5,0
POFUT1,7,7,4,276.5833333,2.351428571,9.692846287,0.619047619,2.648148148,7,3,0.193935037,830,5,0
POPDC2,6,7,3,280.5,2.391428571,33.76454794,0.380952381,2.608262108,7,2,0.200700014,1906,5,0
