Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
TNNC1,42,42,4,297.25,2.401428571,56.73350721,0.701509872,2.598290598,32,2,0.488480697,431,67,1
TNNC2,49,50,3,329.3333333,2.687142857,146.4258974,0.619591837,2.313390313,32,2,0.535577772,5028,130,1
TNNI1,41,41,3,304.5,2.5,20.30797592,0.795121951,2.5,32,2,0.474096574,49578,66,0
TNNI2,42,42,3,311.8333333,2.56,31.70732554,0.767711963,2.44017094,32,2,0.488480697,3472,62,0
TNNI3,81,81,3,364.8333333,2.902857143,500.1908584,0.429012346,2.098290598,32,2,0.564091744,1873,553,1
TNNT1,42,42,3,328,2.698571429,112.1234869,0.730545877,2.301994302,32,2,0.488480697,347,68,0
TNNT2,82,82,3,367.3333333,2.921428571,510.369416,0.431496537,2.07977208,32,2,0.563474332,2801,610,0
TNNT3,46,46,3,310,2.532857143,53.22855366,0.72173913,2.467236467,32,2,0.483161437,4024,124,0
TP53,191,192,3,440.5,3.234285714,5042.655003,0.259871291,1.767806268,43,3,0.539515411,0,6753,1
TPI1,28,28,4,340.5833333,2.845714286,376.4274387,0.253968254,2.155270655,19,1,0.417515483,2041,23,1
TPM1,67,67,3,357.6666667,2.881428571,431.2376806,0.468113976,2.11965812,32,2,0.513898752,0,322,0
TPM2,50,50,3,336,2.744285714,155.0284004,0.632653061,2.256410256,32,2,0.533809326,382,205,0
TPM3,55,56,3,342.8333333,2.785714286,598.7169026,0.538311688,2.215099715,32,2,0.507361626,2709,257,0
TPM4,45,47,3,335,2.744285714,278.6153313,0.640148011,2.256410256,32,2,0.490819194,3615,176,0
TPR,70,70,3,359.6666667,2.89,691.1795397,0.527122153,2.111111111,43,4,0.538184233,21,88,0
TRA2B,49,49,4,310.5,2.525714286,138.1857203,0.860544218,2.474358974,43,4,0.520533453,0,13,0
TRDN,44,44,3,332.5,2.731428571,136.2708288,0.50422833,2.269230769,32,2,0.496984807,4903,133,0
TRIM33,14,14,4,295.1666667,2.495714286,1.505846011,0.813186813,2.504273504,14,3,0.463179977,1080,9,0
TRIM72,4,5,4,267.9166667,2.248571429,1.223892786,0.6,2.750712251,5,2,0.098755164,334,2,0
TRPA1,17,17,3,289.8333333,2.442857143,11.8454969,0.558823529,2.556980057,16,1,0.475931074,94,29,1
TRPM4,39,39,3,313.6666667,2.584285714,90.84485218,0.469635628,2.415954416,28,1,0.455923997,0,58,0
TRPM8,10,10,3,305.5,2.597142857,15.22768982,0.711111111,2.403133903,10,1,0.363453555,6196,9,1
TSC2,55,55,3,351,2.858571429,132.4502317,0.571717172,2.142450142,37,3,0.494956696,0,130,0
TSC22D3,17,18,4,308.5833333,2.6,66.59621705,0.496732026,2.4002849,18,3,0.423049843,3307,9,0
TSPO,4,8,4,292.0833333,2.485714286,66.02594596,0.25,2.514245014,8,1,0.790041312,11156,7,1
TTN,80,80,3,364.3333333,2.901428571,509.5289837,0.430379747,2.0997151,32,2,0.562646438,50528,517,0
U2AF2,75,76,4,329.5833333,2.612857143,261.9393777,0.604561404,2.387464387,43,4,0.540213045,282,60,0
UBA52,133,133,3,405.6666667,3.104285714,5480.863149,0.237753475,1.897435897,43,3,0.571493815,7123,630,0
UBB,115,115,3,391,3.03,1919.266251,0.304958047,1.971509972,43,3,0.547974667,262,1257,1
UBC,115,115,3,390.3333333,3.024285714,1837.698083,0.305720824,1.977207977,43,3,0.547974667,1862,1348,1
UBE2D1,54,54,4,338.75,2.755714286,137.5043648,0.483577918,2.245014245,33,3,0.498846613,535,202,0
UBE2D2,34,34,4,318.9166667,2.642857143,29.32345935,0.625668449,2.357549858,31,3,0.404373851,1059,55,0
UBE2D3,41,41,4,328.0833333,2.701428571,75.32090209,0.524390244,2.299145299,32,3,0.474096574,8400,65,0
UBE2D4,24,24,4,299.5833333,2.505714286,11.47512946,0.77173913,2.494301994,23,3,0.371628053,4893,6,0
UBE2K,33,34,4,325.4166667,2.698571429,168.125879,0.540106952,2.301994302,27,3,0.393020758,22695,30,0
UBE2S,45,45,4,341.25,2.802857143,116.6272959,0.560606061,2.198005698,33,3,0.48908485,752,90,0
UNC13B,12,14,4,275.8333333,2.33,43.05114863,0.241758242,2.66951567,13,1,0.457262216,4609,13,0
UNC79,24,24,3,293.8333333,2.457142857,62.99643273,0.380434783,2.542735043,18,1,0.371628053,1527,30,0
UNC80,11,11,4,281.1666667,2.352857143,15.61637205,0.4,2.646723647,11,1,0.419374531,2742,6,0
VAV1,46,46,3,335.5,2.751428571,63.41419639,0.581642512,2.249287749,32,3,0.483161437,7959,226,0
VCL,96,96,3,381.1666667,3,1262.280206,0.301973684,2.001424501,34,2,0.549524168,4790,407,0
VR1,39,39,3,343.8333333,2.842857143,212.6115761,0.354925776,2.158119658,30,1,0.455923997,75,77,1
VWA1,6,9,3,299.6666667,2.55,37.01413027,0.444444444,2.45014245,9,3,0.200700014,0,3,0
WEE1,64,65,3,342.5,2.757142857,159.9213685,0.648076923,2.243589744,43,3,0.508526238,2202,759,0
WWP2,25,25,3,323.1666667,2.705714286,68.13240753,0.546666667,2.294871795,23,3,0.37027993,1739,15,0
WWTR1,23,24,4,308.8333333,2.584285714,38.17807644,0.456521739,2.415954416,23,3,0.383042541,744,29,0
XK,6,7,3,298.6666667,2.547142857,182.252983,0.285714286,2.452991453,6,1,0.200700014,49,5,0
XPO1,97,98,4,371.9166667,2.914285714,1643.75896,0.329265727,2.086894587,43,4,0.559333612,1824,285,0
YAP1,52,52,3,342,2.79,190.6259821,0.492458522,2.210826211,35,3,0.523125199,15154,116,0
ZAP70,42,42,4,332.4166667,2.735714286,102.7551371,0.528455285,2.264957265,32,3,0.488480697,188,139,1
ZFPM2,11,11,4,274.4166667,2.298571429,1.411672078,0.818181818,2.700854701,11,2,0.419374531,2535,7,0
ZFYVE9,15,15,4,276.6666667,2.301428571,1.622743577,0.933333333,2.698005698,15,3,0.445360252,630,3,0
